Pulsar ID,Pulsar Class,Age,Period (P),Period Derivative (P˙),Magnetic Field (B),Initial Period (Pinit​),Initial B Field (Binit​),Galactic Longitude (l),Galactic Latitude (b),Distance,Dispersion Measure (DM),"Proper Motion (μl​,μb​)",Kick Velocity,Is Binary,Orbital Period (Pb​),Companion Mass (Mc​),Eccentricity (e),Radio Luminosity (L1400​),Single-Pulse Lum. Dist.,Radio Beaming Fraction,Viewing Angle (ζ),Inclination Angle (α),Nulling Fraction (NF)
J0023+0923,HE,4.230558e+09,3.050203e-03,1.142345e-20,1.888917e+08,,,1.113831e+02,-5.284926e+01,1.818169e+00,1.432655e+01,,1.214271e+02,BT,,,7.068239e-06,,,,,,
J0024-7204E,,5.687705e+08,3.536329e-03,9.851030e-20,5.972651e+08,,,3.058835e+02,-4.488281e+01,4.520000e+00,2.423960e+01,,1.250718e+02,DD,,,3.159000e-04,,,,,,
J0024-7204H,,,3.210341e-03,-1.829366e-21,,,,3.058956e+02,-4.490211e+01,4.520000e+00,2.437500e+01,,1.250718e+02,DD,,,7.055800e-02,,,,,,
J0024-7204I,,,3.484992e-03,-4.587352e-20,,,,3.058915e+02,-4.489332e+01,4.520000e+00,2.443030e+01,,1.250718e+02,ELL1,,,,,,,,,
J0024-7204J,,,2.100634e-03,-9.791695e-21,,,,3.059092e+02,-4.490291e+01,4.520000e+00,2.459370e+01,,1.250718e+02,BTX,,,,,,,,,
J0024-7204O,,1.379973e+09,2.643343e-03,3.034932e-20,2.866165e+08,,,3.058966e+02,-4.488882e+01,4.520000e+00,2.435800e+01,,1.250718e+02,BTX,,,,,,,,,
J0024-7204P,,8.698300e+07,3.643021e-03,6.635800e-19,1.573358e+09,,,3.058716e+02,-4.490378e+01,4.520000e+00,2.429000e+01,,1.250718e+02,BT,,,,,,,,,
J0024-7204Q,,1.878999e+09,4.033181e-03,3.400848e-20,3.747723e+08,,,3.058770e+02,-4.489894e+01,4.520000e+00,2.427940e+01,,1.250718e+02,ELL1,,,8.028076e-05,,,,,,
J0024-7204R,,3.717149e+08,3.480463e-03,1.483519e-19,7.271349e+08,,,3.058915e+02,-4.489031e+01,4.520000e+00,2.436100e+01,,1.250718e+02,ELL1,,,1.044031e-04,,,,,,
J0024-7204S,,,2.830406e-03,-1.205413e-19,,,,3.058984e+02,-4.489183e+01,4.520000e+00,2.438179e+01,,1.250718e+02,ELL1,,,3.975550e-04,,,,,,
J0024-7204T,,4.092251e+08,7.588480e-03,2.938046e-19,1.510973e+09,,,3.058905e+02,-4.489364e+01,4.520000e+00,2.442100e+01,,1.250718e+02,ELL1,,,4.003124e-04,,,,,,
J0024-7204U,,7.225608e+08,4.342827e-03,9.522788e-20,6.507562e+08,,,3.058905e+02,-4.490467e+01,4.520000e+00,2.434000e+01,,1.250718e+02,ELL1,,,1.459109e-04,,,,,,
J0024-7204V,,,4.810168e-03,,,,,3.058948e+02,-4.488933e+01,4.520000e+00,2.410500e+01,,1.250718e+02,BTX,,,,,,,,,
J0024-7204W,,,2.352345e-03,-8.655263e-20,,,,3.058943e+02,-4.489038e+01,4.520000e+00,2.437000e+01,,1.250718e+02,BTX,,,,,,,,,
J0024-7204X,,4.117430e+09,4.771523e-03,1.836102e-20,2.995207e+08,,,3.058774e+02,-4.495163e+01,4.520000e+00,2.453800e+01,,1.250718e+02,ELL1,,,4.472136e-07,,,,,,
J0024-7204Y,,,2.196657e-03,-3.517211e-20,,,,3.059031e+02,-4.489148e+01,4.520000e+00,2.447500e+01,,1.250718e+02,ELL1,,,3.000000e-06,,,,,,
