Pulsar ID,Pulsar Class,Age,Period (P),Period Derivative (P˙),Magnetic Field (B),Initial Period (Pinit​),Initial B Field (Binit​),Galactic Longitude (l),Galactic Latitude (b),Distance,Dispersion Measure (DM),"Proper Motion (μl​,μb​)",Kick Velocity,Is Binary,Orbital Period (Pb​),Companion Mass (Mc​),Eccentricity (e),Radio Luminosity (L1400​),Single-Pulse Lum. Dist.,Radio Beaming Fraction,Viewing Angle (ζ),Inclination Angle (α),Nulling Fraction (NF)
J0002+6216,HE,3.063207e+05,1.153636e-01,5.967033e-15,8.395828e+11,,,1.173266e+02,-7.382051e-02,6.357000e+00,2.186000e+02,,1.062964e+03,,,,,,,,,,
J0006+1834,,5.241666e+06,6.937480e-01,2.097000e-15,1.220535e+12,,,1.081721e+02,-4.298499e+01,8.600000e-01,1.141000e+01,,,,,,,,,,,,
J0007+7303,NRAD,1.388691e+04,3.158732e-01,3.603905e-13,1.079675e+13,,,1.196596e+02,1.046308e+01,1.400000e+00,,,,,,,,,,,,,
J0011+08,,,2.552870e+00,,,,,1.062283e+02,-5.340705e+01,5.399000e+00,2.490000e+01,,,,,,,,,,,,
J0012+5431,RRAT,3.740843e+08,3.025301e+00,1.281342e-16,6.300381e+11,,,1.172305e+02,-7.911120e+00,5.427000e+00,1.313000e+02,,,,,,,,,,,,
J0014+4746,,3.482575e+07,1.240699e+00,5.644584e-16,8.468357e+11,,,1.164973e+02,-1.463122e+01,1.776000e+00,3.040500e+01,,2.322107e+02,,,,,,,,,,
J0021-0909,,3.529201e+07,2.314131e+00,1.038909e-15,1.569035e+12,,,1.002909e+02,-7.072646e+01,2.500000e+01,2.520000e+01,,,,,,,,,,,,
J0023+0923,HE,4.230558e+09,3.050203e-03,1.142345e-20,1.888917e+08,,,1.113831e+02,-5.284926e+01,1.818169e+00,1.432655e+01,,1.214271e+02,BT,,,7.068239e-06,,,,,,
J0024-7204C,,,5.756780e-03,-4.985030e-20,,,,3.059235e+02,-4.489218e+01,4.520000e+00,2.459090e+01,,1.250718e+02,,,,,,,,,,
J0024-7204D,,,5.357573e-03,-3.422042e-21,,,,3.058806e+02,-4.489331e+01,4.520000e+00,2.474120e+01,,1.250718e+02,,,,,,,,,,
J0024-7204E,,5.687705e+08,3.536329e-03,9.851030e-20,5.972651e+08,,,3.058835e+02,-4.488281e+01,4.520000e+00,2.423960e+01,,1.250718e+02,DD,,,3.159000e-04,,,,,,
J0024-7204F,,6.444382e+08,2.623579e-03,6.450286e-20,4.162810e+08,,,3.058986e+02,-4.489168e+01,4.520000e+00,2.438410e+01,,1.250718e+02,,,,,,,,,,
J0024-7204G,,,4.040379e-03,-4.215844e-20,,,,3.058915e+02,-4.489332e+01,4.520000e+00,2.443430e+01,,1.250718e+02,,,,,,,,,,
J0024-7204H,,,3.210341e-03,-1.829366e-21,,,,3.058956e+02,-4.490211e+01,4.520000e+00,2.437500e+01,,1.250718e+02,DD,,,7.055800e-02,,,,,,
J0024-7204I,,,3.484992e-03,-4.587352e-20,,,,3.058915e+02,-4.489332e+01,4.520000e+00,2.443030e+01,,1.250718e+02,ELL1,,,,,,,,,
J0024-7204J,,,2.100634e-03,-9.791695e-21,,,,3.059092e+02,-4.490291e+01,4.520000e+00,2.459370e+01,,1.250718e+02,BTX,,,,,,,,,
J0024-7204L,,,4.346168e-03,-1.220449e-19,,,,3.058980e+02,-4.488779e+01,4.520000e+00,2.439860e+01,,1.250718e+02,,,,,,,,,,
J0024-7204M,,,3.676643e-03,-3.841867e-20,,,,3.059126e+02,-4.487671e+01,4.520000e+00,2.442600e+01,,1.250718e+02,,,,,,,,,,
J0024-7204N,,,3.053954e-03,-2.185697e-20,,,,3.058899e+02,-4.489652e+01,4.520000e+00,2.455680e+01,,1.250718e+02,,,,,,,,,,
J0024-7204O,,1.379973e+09,2.643343e-03,3.034932e-20,2.866165e+08,,,3.058966e+02,-4.488882e+01,4.520000e+00,2.435800e+01,,1.250718e+02,BTX,,,,,,,,,
J0024-7204P,,8.698300e+07,3.643021e-03,6.635800e-19,1.573358e+09,,,3.058716e+02,-4.490378e+01,4.520000e+00,2.429000e+01,,1.250718e+02,BT,,,,,,,,,
J0024-7204Q,,1.878999e+09,4.033181e-03,3.400848e-20,3.747723e+08,,,3.058770e+02,-4.489894e+01,4.520000e+00,2.427940e+01,,1.250718e+02,ELL1,,,8.028076e-05,,,,,,
J0024-7204R,,3.717149e+08,3.480463e-03,1.483519e-19,7.271349e+08,,,3.058915e+02,-4.489031e+01,4.520000e+00,2.436100e+01,,1.250718e+02,ELL1,,,1.044031e-04,,,,,,
J0024-7204S,,,2.830406e-03,-1.205413e-19,,,,3.058984e+02,-4.489183e+01,4.520000e+00,2.438179e+01,,1.250718e+02,ELL1,,,3.975550e-04,,,,,,
J0024-7204T,,4.092251e+08,7.588480e-03,2.938046e-19,1.510973e+09,,,3.058905e+02,-4.489364e+01,4.520000e+00,2.442100e+01,,1.250718e+02,ELL1,,,4.003124e-04,,,,,,
J0024-7204U,,7.225608e+08,4.342827e-03,9.522788e-20,6.507562e+08,,,3.058905e+02,-4.490467e+01,4.520000e+00,2.434000e+01,,1.250718e+02,ELL1,,,1.459109e-04,,,,,,
J0024-7204V,,,4.810168e-03,,,,,3.058948e+02,-4.488933e+01,4.520000e+00,2.410500e+01,,1.250718e+02,BTX,,,,,,,,,
J0024-7204W,,,2.352345e-03,-8.655263e-20,,,,3.058943e+02,-4.489038e+01,4.520000e+00,2.437000e+01,,1.250718e+02,BTX,,,,,,,,,
J0024-7204X,,4.117430e+09,4.771523e-03,1.836102e-20,2.995207e+08,,,3.058774e+02,-4.495163e+01,4.520000e+00,2.453800e+01,,1.250718e+02,ELL1,,,4.472136e-07,,,,,,
J0024-7204Y,,,2.196657e-03,-3.517211e-20,,,,3.059031e+02,-4.489148e+01,4.520000e+00,2.447500e+01,,1.250718e+02,ELL1,,,3.000000e-06,,,,,,
J0024-7204Z,,,4.554447e-03,-4.542715e-21,,,,3.058936e+02,-4.488697e+01,4.520000e+00,2.445000e+01,,1.250718e+02,,,,,,,,,,
