Pulsar ID,Pulsar Class,Age,Period (P),Period Derivative (P˙),Magnetic Field (B),Initial Period (Pinit​),Initial B Field (Binit​),Galactic Longitude (l),Galactic Latitude (b),Distance,Dispersion Measure (DM),"Proper Motion (μl​,μb​)",Kick Velocity,Is Binary,Orbital Period (Pb​),Companion Mass (Mc​),Eccentricity (e),Radio Luminosity (L1400​),Single-Pulse Lum. Dist.,Radio Beaming Fraction,Viewing Angle (ζ),Inclination Angle (α),Nulling Fraction (NF)
J0007+7303,NRAD,1.388691e+04,3.158732e-01,3.603905e-13,1.079675e+13,,,1.196596e+02,1.046308e+01,1.400000e+00,,,,,,,,,,,,,
J0058-7218,NRAD,1.193316e+04,2.176611e-02,2.889957e-14,8.025758e+11,,,3.021991e+02,-4.481685e+01,5.970000e+01,,,,,,,,,,,,,
J0357+3205,NRAD,5.397335e+05,4.441045e-01,1.303682e-14,2.434885e+12,,,1.627601e+02,-1.600598e+01,8.350000e-01,,,6.494451e+02,,,,,,,,,,
J0359+5414,NRAD,7.520490e+04,7.942723e-02,1.673360e-14,1.166620e+12,,,,,,,,,,,,,,,,,,
J0537-6910,NRAD,4.932789e+03,1.612222e-02,5.178434e-14,9.246165e+11,,,2.795595e+02,-3.174466e+01,4.970000e+01,,,,,,,,,,,,,
J0554+3107,NRAD,5.166000e+04,4.649610e-01,1.426028e-13,8.239907e+12,,,1.790582e+02,2.696782e+00,2.000000e+00,,,,,,,,,,,,,
J0622+3749,NRAD,2.076554e+05,3.332082e-01,2.542368e-14,2.945283e+12,,,,,,,,,,,,,,,,,,
J0633+0632,NRAD,5.920154e+04,2.973952e-01,7.959155e-14,4.923233e+12,,,2.050932e+02,-9.319021e-01,1.355000e+00,,,,,,,,,,,,,
J0635+0533,NRAD,,3.385650e-02,,,,,,,,,,,,,,,,,,,,
J0734-1559,NRAD,2.028038e+05,1.562500e-01,1.220703e-14,1.397542e+12,,,,,,,,,,,,,,,,,,
J0744-2525,NRAD,1.524113e+06,9.199632e-02,9.563555e-16,3.001545e+11,,,,,,,,,,,,,,,,,,
J0802-5613,NRAD,1.571488e+06,2.739726e-01,2.762244e-15,8.803079e+11,,,,,,,,,,,,,,,,,,
J0821-4300,NRAD,1.924138e+08,1.127995e-01,9.288313e-18,3.275457e+10,,,2.603816e+02,-3.473163e+00,2.200000e+00,,,6.344397e+02,,,,,,,,,,
J1023-5746,NRAD,4.602418e+03,1.114724e-01,3.837491e-13,6.618467e+12,,,2.841656e+02,-4.073771e-01,2.080000e+00,,,,,,,,,,,,,
J1044-5737,NRAD,4.032349e+04,1.390289e-01,5.462771e-14,2.788746e+12,,,2.865744e+02,1.162898e+00,1.895000e+00,,,,,,,,,,,,,
J1057-5851,NRAD,9.772287e+04,6.203650e-01,1.005813e-13,7.993412e+12,,,,,,,,,,,,,,,,,,
J1101-6101,NRAD,1.162642e+05,6.280008e-02,8.558154e-15,7.418568e+11,,,2.900401e+02,-9.316497e-01,7.000000e+00,,,,,,,,,,,,,
J1105-6037,NRAD,1.414381e+05,1.949383e-01,2.183720e-14,2.087839e+12,,,,,,,,,,,,,,,,,,
J1111-6039,NRAD,8.634101e+03,1.066892e-01,1.957805e-13,4.624821e+12,,,,,,,,,,,,,,,,,,
J1135-6055,NRAD,2.297386e+04,1.149425e-01,7.927071e-14,3.054546e+12,,,,,,,,,,,,,,,,,,
J1139-6247,NRAD,4.713461e+05,1.204819e-01,4.049935e-15,7.068625e+11,,,,,,,,,,,,,,,,,,
J1203-6242,NRAD,3.612151e+04,1.006036e-01,4.412795e-14,2.132130e+12,,,,,,,,,,,,,,,,,,
J1208-6238,NRAD,2.135100e+03,4.405907e-01,3.269514e-12,3.840690e+13,,,,,,,,,,,,,,,,,,
J1210-5226,NRAD,3.022371e+08,4.241307e-01,2.223402e-17,9.826726e+10,,,2.965452e+02,9.916106e+00,2.600000e+00,,,,,,,,,,,,,
J1231-5113,NRAD,2.798729e+07,2.066116e-01,1.169661e-16,1.573103e+11,,,,,,,,,,,,,,,,,,
J1231-6511,NRAD,1.379525e+05,2.475248e-01,2.842859e-14,2.684336e+12,,,,,,,,,,,,,,,,,,
J1304+12,NRAD,,4.180000e-03,,,,,,,,,,,,,,,,,,,,
J1335-5656,NRAD,4.255297e+09,3.237713e-03,1.205520e-20,1.999201e+08,,,,,,,,,,,,,,,,,,
J1350-6225,NRAD,2.464092e+05,1.381578e-01,8.883509e-15,1.121063e+12,,,,,,,,,,,,,,,,,,
J1358-6025,NRAD,3.180360e+05,6.053269e-02,3.015642e-15,4.323494e+11,,,,,,,,,,,,,,,,,,
J1412+7922,NRAD,2.801655e+05,5.819907e-02,3.291300e-15,4.428858e+11,,,,,,,,,,,,,,,,,,
J1413-6205,NRAD,6.281635e+04,1.097407e-01,2.767968e-14,1.763658e+12,,,3.123731e+02,-7.357551e-01,2.150000e+00,,,,,,,,,,,,,
J1418-6058,NRAD,1.034229e+04,1.105730e-01,1.693942e-13,4.379493e+12,,,3.133247e+02,1.348487e-01,1.885000e+00,,,,,,,,,,,,,
