Pulsar ID,Pulsar Class,Age,Period (P),Period Derivative (P˙),Magnetic Field (B),Initial Period (Pinit​),Initial B Field (Binit​),Galactic Longitude (l),Galactic Latitude (b),Distance,Dispersion Measure (DM),"Proper Motion (μl​,μb​)",Kick Velocity,Is Binary,Orbital Period (Pb​),Companion Mass (Mc​),Eccentricity (e),Radio Luminosity (L1400​),Single-Pulse Lum. Dist.,Radio Beaming Fraction,Viewing Angle (ζ),Inclination Angle (α),Nulling Fraction (NF)
J0012+5431,RRAT,3.740843e+08,3.025301e+00,1.281342e-16,6.300381e+11,,,1.172305e+02,-7.911120e+00,5.427000e+00,1.313000e+02,,,,,,,,,,,,
J0054+66,RRAT,,1.390000e+00,,,,,1.231928e+02,3.129550e+00,9.010000e-01,1.500000e+01,,,,,,,,,,,,
J0054+69,RRAT,,,,,,,1.231997e+02,6.563160e+00,2.347000e+00,9.030000e+01,,,,,,,,,,,,
J0103+54,RRAT,,3.543040e-01,,,,,1.247408e+02,-8.795633e+00,1.998000e+00,5.480000e+01,,,,,,,,,,,,
J0121+53,RRAT,,2.724785e+00,,,,,1.273783e+02,-9.133005e+00,2.644000e+00,9.138000e+01,,,,,,,,,,,,
J0139+3336,RRAT,9.579820e+06,1.247961e+00,2.064000e-15,1.624072e+12,,,1.343807e+02,-2.817429e+01,1.470000e+00,2.120000e+01,,,,,,,,,,,,
J0156+04,RRAT,,,,,,,1.519749e+02,-5.515487e+01,2.500000e+01,2.750000e+01,,,,,,,,,,,,
J0201+7005,RRAT,3.876485e+06,1.349184e+00,5.514413e-15,2.760167e+12,,,1.288891e+02,8.033355e+00,1.172000e+00,2.102900e+01,,,,,,,,,,,,
J0337+79,RRAT,,2.056210e+00,,,,,1.305804e+02,1.870883e+01,1.053000e+00,1.667000e+01,,,,,,,,,,,,
J0410-31,RRAT,,1.878500e+00,,,,,2.305863e+02,-4.667077e+01,4.150000e-01,9.200000e+00,,,,,,,,,,,,
J0447-04,RRAT,,2.188190e+00,,,,,2.020723e+02,-2.965665e+01,6.750000e-01,2.983000e+01,,,,,,,,,,,,
J0534+34,RRAT,,,,,,,1.743529e+02,7.459191e-01,4.030000e-01,2.450000e+01,,,,,,,,,,,,
J0544+20,RRAT,,,,,,,1.867562e+02,-4.495298e+00,1.283000e+00,5.690000e+01,,,,,,,,,,,,
J0545-03,RRAT,,1.073930e+00,,,,,2.080943e+02,-1.621251e+01,2.062000e+00,6.720000e+01,,,,,,,,,,,,
J0550+09,RRAT,,1.745000e+00,,,,,1.970553e+02,-8.773737e+00,1.804000e+00,8.660000e+01,,,,,,,,,,,,
J0621-55,RRAT,,,,,,,2.648042e+02,-2.641071e+01,3.800000e-01,2.200000e+01,,,,,,,,,,,,
J0627+16,RRAT,,2.180000e+00,,,,,1.957928e+02,2.123851e+00,1.932000e+00,1.130000e+02,,,,,,,,,,,,
J0628+0909,RRAT,3.589913e+07,1.241421e+00,5.479000e-16,8.345651e+11,,,2.021900e+02,-8.514424e-01,1.767000e+00,8.790000e+01,,,,,,,,,,,,
J0637+0332g,RRAT,,,,,,,2.082184e+02,-1.442733e+00,2.542000e+00,1.520000e+02,,,,,,,,,,,,
J0641+07,RRAT,,,,,,,2.048820e+02,1.251899e+00,1.257000e+00,5.200000e+01,,,,,,,,,,,,
J0653-06,RRAT,,7.900000e-01,,,,,2.186903e+02,-2.507124e+00,2.140000e+00,8.370000e+01,,,,,,,,,,,,
J0723-2050,RRAT,,7.115400e-01,,,,,2.349917e+02,-2.732620e+00,3.265000e+00,1.300000e+02,,,,,,,,,,,,
J0736-6304,RRAT,5.072257e+05,4.862874e+00,1.519000e-13,2.750270e+13,,,2.748813e+02,-1.915276e+01,1.030000e-01,1.940000e+01,,,,,,,,,,,,
J0741+17,RRAT,,1.730000e+00,,,,,2.027679e+02,1.843763e+01,1.207000e+00,4.430000e+01,,,,,,,,,,,,
J0803+34,RRAT,,,,,,,1.867785e+02,2.889043e+01,1.305000e+00,3.400000e+01,,,,,,,,,,,,
J0847-4316,RRAT,7.896253e+05,5.977493e+00,1.199400e-13,2.709515e+13,,,2.634443e+02,1.584128e-01,6.547000e+00,2.925000e+02,,,,,,,,,,,,
J0912-3851,RRAT,6.735197e+06,1.526085e+00,3.590000e-15,2.368572e+12,,,2.631649e+02,6.584159e+00,3.460000e-01,7.150000e+01,,,,,,,,,,,,
J0923-31,RRAT,,,,,,,2.596969e+02,1.300288e+01,3.820000e-01,7.200000e+01,,,,,,,,,,,,
J0930-1854,RRAT,,,,,,,2.507605e+02,2.301923e+01,2.477000e+00,3.300000e+01,,,,,,,,,,,,
J0941-39,RRAT,,5.867784e-01,,,,,2.677951e+02,9.903608e+00,3.560000e-01,7.800000e+01,,,,,,,,,,,,
J0943-5305,RRAT,,1.734000e+00,,,,,2.768417e+02,-3.251732e-02,4.440000e-01,1.740000e+02,,,,,,,,,,,,
J0957-06,RRAT,,1.723700e+00,,,,,2.447617e+02,3.620148e+01,2.461000e+00,2.695000e+01,,,,,,,,,,,,
J1005+30,RRAT,,,,,,,1.979369e+02,5.367311e+01,1.990000e+00,1.750000e+01,,,,,,,,,,,,
J1010+15,RRAT,,,,,,,2.212584e+02,5.097962e+01,2.500000e+01,4.200000e+01,,,,,,,,,,,,
J1014-48,RRAT,,1.508800e+00,,,,,2.781362e+02,6.329829e+00,3.790000e-01,8.700000e+01,,,,,,,,,,,,
J1048-5838,RRAT,1.599905e+06,1.231305e+00,1.219375e-14,3.921041e+12,,,2.874729e+02,4.846321e-01,1.008000e+00,7.070000e+01,,,,,,,,,,,,
J1105+02,RRAT,7.069859e+07,6.403055e+00,1.434969e-15,3.067361e+12,,,2.525919e+02,5.465018e+01,1.580000e+00,1.650000e+01,,,,,,,,,,,,
J1126-2737,RRAT,,3.581610e-01,,,,,2.806913e+02,3.153719e+01,4.360000e-01,2.686000e+01,,,,,,,,,,,,
J1129-53,RRAT,,1.062880e+00,,,,,2.907979e+02,7.410060e+00,1.457000e+00,7.700000e+01,,,,,,,,,,,,
J1130+0921,RRAT,,4.796637e+00,-2.760927e-15,,,,2.522181e+02,6.397649e+01,3.386000e+00,2.100000e+01,,,,,,,,,,,,
J1132+25,RRAT,,1.002000e+00,,,,,2.145808e+02,7.228471e+01,2.500000e+01,2.419000e+01,,,,,,,,,,,,
J1135-49,RRAT,,,,,,,2.905261e+02,1.161911e+01,2.129000e+00,1.140000e+02,,,,,,,,,,,,
J1152-6056,RRAT,,2.449000e+00,,,,,2.958487e+02,1.120888e+00,6.429000e+00,3.810000e+02,,,,,,,,,,,,
J1153-2117,RRAT,,2.343480e+00,,,,,2.851772e+02,3.954931e+01,2.331000e+00,3.480000e+01,,,,,,,,,,,,
J1156-1318,RRAT,,,,,,,2.830317e+02,4.743952e+01,2.228000e+00,2.800000e+01,,,,,,,,,,,,
J1216-50,RRAT,,6.355000e+00,,,,,2.972311e+02,1.203249e+01,2.302000e+00,1.100000e+02,,,,,,,,,,,,
J1226-3223,RRAT,1.391805e+07,6.193004e+00,7.050000e-15,6.686444e+12,,,2.969085e+02,3.019955e+01,2.175000e+00,3.670000e+01,,,,,,,,,,,,
J1252+53,RRAT,,2.201036e-01,,,,,1.227459e+02,6.342805e+01,3.191000e+00,2.070000e+01,,,,,,,,,,,,
J1307-67,RRAT,,3.651200e+00,,,,,3.045183e+02,-4.235804e+00,1.093000e+00,4.400000e+01,,,,,,,,,,,,
J1317-5759,RRAT,3.333050e+06,2.642199e+00,1.256000e-14,5.829449e+12,,,3.064276e+02,4.701095e+00,3.765000e+00,1.453000e+02,,,,,,,,,,,,
J1329+13,RRAT,,,,,,,3.380073e+02,7.398943e+01,1.087000e+00,1.200000e+01,,,,,,,,,,,,
J1332-03,RRAT,,1.106400e+00,,,,,3.222498e+02,5.790901e+01,2.500000e+01,2.710000e+01,,,,,,,,,,,,
J1336+33,RRAT,,3.013000e+00,,,,,7.031872e+01,7.833709e+01,7.190000e-01,8.500000e+00,,,,,,,,,,,,
J1354+2454,RRAT,,6.270000e+00,,,,,2.744725e+01,7.576399e+01,3.732000e+00,2.000000e+01,,,,,,,,,,,,
J1400+21,RRAT,,,,,,,1.675159e+01,7.333181e+01,9.080000e-01,1.050000e+01,,,,,,,,,,,,
J1424-56,RRAT,,1.427000e+00,,,,,3.154781e+02,3.910895e+00,9.490000e-01,3.290000e+01,,,,,,,,,,,,
J1433+00,RRAT,,,,,,,3.497492e+02,5.379158e+01,2.993000e+00,2.350000e+01,,,,,,,,,,,,
J1439+7655,RRAT,,9.479030e-01,,,,,1.153903e+02,3.857459e+01,2.047000e+00,2.229000e+01,,,,,,,,,,,,
J1444-6026,RRAT,4.066178e+06,4.758576e+00,1.854200e-14,9.505320e+12,,,3.164000e+02,-5.441562e-01,5.823000e+00,3.677000e+02,,,,,,,,,,,,
J1502+28,RRAT,,3.784000e+00,,,,,4.278046e+01,6.112680e+01,1.289000e+00,1.400000e+01,,,,,,,,,,,,
J1513-5946,RRAT,1.943474e+06,1.046117e+00,8.528400e-15,3.022553e+12,,,3.199695e+02,-1.697100e+00,3.757000e+00,1.717000e+02,,,,,,,,,,,,
J1534-46,RRAT,,3.648350e-01,,,,,3.300073e+02,7.909878e+00,2.036000e+00,6.400000e+01,,,,,,,,,,,,
J1538+2345,RRAT,7.933153e+06,3.449385e+00,6.889091e-15,4.932894e+12,,,3.731791e+01,5.239118e+01,1.313000e+00,1.491000e+01,,,,,,,,,,,,
J1541+4703,RRAT,2.097588e+07,2.777007e-01,2.097601e-16,2.442305e+11,,,7.549676e+01,5.139421e+01,2.033000e+00,1.940000e+01,,,,,,,,,,,,
J1541-42,RRAT,,,,,,,3.335144e+02,1.021374e+01,2.112000e+00,6.000000e+01,,,,,,,,,,,,
J1549-57,RRAT,,7.375000e-01,,,,,3.251270e+02,-2.354383e+00,7.040000e-01,1.800000e+01,,,,,,,,,,,,
J1554+18,RRAT,,,,,,,3.068541e+01,4.707335e+01,2.753000e+00,2.400000e+01,,,,,,,,,,,,
J1554-5209,RRAT,8.647687e+05,1.252296e-01,2.294420e-15,5.424252e+11,,,3.290063e+02,1.193960e+00,3.079000e+00,1.308000e+02,,,,,,,,,,,,
J1555+01,RRAT,,,,,,,1.044784e+01,3.873045e+01,1.253000e+00,1.850000e+01,,,,,,,,,,,,
J1603+18,RRAT,,5.030000e-01,,,,,3.284880e+01,4.527985e+01,2.500000e+01,2.970000e+01,,,,,,,,,,,,
J1603-1655,RRAT,,7.147000e-01,,,,,3.551048e+02,2.596225e+01,2.500000e+01,6.322000e+01,,,,,,,,,,,,
J1610-17,RRAT,,,,,,,3.556108e+02,2.410976e+01,3.768000e+00,5.300000e+01,,,,,,,,,,,,
J1611-01,RRAT,,1.296870e+00,,,,,1.044740e+01,3.416071e+01,2.015000e+00,2.721000e+01,,,,,,,,,,,,
J1619-3345,RRAT,,1.158600e+00,,,,,3.448643e+02,1.172898e+01,5.285000e+00,8.970000e+01,,,,,,,,,,,,
J1623-0841,RRAT,4.075369e+06,5.030150e-01,1.955600e-15,1.003646e+12,,,5.774155e+00,2.736740e+01,4.644000e+00,5.979000e+01,,,,,,,,,,,,
J1647-3607,RRAT,2.607714e+07,2.123164e-01,1.290000e-16,1.674698e+11,,,3.470844e+02,5.773446e+00,1.687300e+01,2.285000e+02,,,,,,,,,,,,
J1652-4406,RRAT,1.285399e+07,7.707183e+00,9.500000e-15,8.658838e+12,,,3.415643e+02,-8.813125e-02,5.108000e+00,7.860000e+02,,,,,,,,,,,,
J1654-23,RRAT,,5.453597e-01,,,,,3.578594e+02,1.255164e+01,4.070000e+00,7.500000e+01,,,,,,,,,,,,
J1658-2823,RRAT,,3.359700e+00,,,,,3.545376e+02,8.917040e+00,3.473000e+00,8.550000e+01,,,,,,,,,,,,
J1703-38,RRAT,,6.443000e+00,,,,,3.474102e+02,2.037332e+00,1.417200e+01,3.750000e+02,,,,,,,,,,,,
J1705-04,RRAT,,2.374800e-01,,,,,1.570947e+01,2.110452e+01,2.100000e-01,4.295100e+01,,,,,,,,,,,,
J1707-4417,RRAT,7.838758e+06,5.763777e+00,1.165000e-14,8.292138e+12,,,3.430406e+02,-2.278305e+00,1.405500e+01,3.800000e+02,,,,,,,,,,,,
J1709-43,RRAT,,,,,,,3.435675e+02,-2.355373e+00,4.596000e+00,2.280000e+02,,,,,,,,,,,,
J1717+03,RRAT,,3.901000e+00,,,,,2.478415e+01,2.220324e+01,1.238000e+00,2.560000e+01,,,,,,,,,,,,
J1720+00,RRAT,,3.357000e+00,,,,,2.279062e+01,2.034885e+01,2.555000e+00,4.620000e+01,,,,,,,,,,,,
J1724-35,RRAT,,1.421990e+00,,,,,3.518291e+02,-1.308100e-02,4.330000e+00,5.550000e+02,,,,,,,,,,,,
J1727-29,RRAT,,,,,,,3.569731e+02,2.795020e+00,2.613000e+00,9.300000e+01,,,,,,,,,,,,
J1739-2521,RRAT,1.200491e+08,1.818461e+00,2.400000e-16,6.685096e+11,,,2.326989e+00,3.027438e+00,4.411000e+00,1.864000e+02,,,,,,,,,,,,
J1753-12,RRAT,,4.054540e-01,,,,,1.460783e+01,6.703119e+00,1.123000e+00,7.300000e+01,,,,,,,,,,,,
J1753-38,RRAT,,6.668040e-01,,,,,3.522768e+02,-6.368281e+00,8.815000e+00,1.676000e+02,,,,,,,,,,,,
J1754-3014,RRAT,4.724911e+06,1.320490e+00,4.428000e-15,2.446929e+12,,,3.598618e+02,-2.331914e+00,2.520000e+00,8.970000e+01,,,,,,,,,,,,
J1807-2557,RRAT,8.769729e+06,2.764195e+00,4.994000e-15,3.759747e+12,,,4.986969e+00,-2.645872e+00,1.855500e+01,3.850000e+02,,,,,,,,,,,,
J1819-1458,RRAT,1.200444e+05,4.263213e+00,5.626795e-13,4.956203e+13,,,1.601901e+01,8.034285e-02,3.301000e+00,1.960000e+02,,,,,,,,,,,,
J1825-33,RRAT,,1.271200e+00,,,,,3.088027e-01,-9.697039e+00,1.238000e+00,4.300000e+01,,,,,,,,,,,,
J1826-1419,RRAT,1.389982e+06,7.706202e-01,8.784100e-15,2.632806e+12,,,1.739827e+01,-1.141888e+00,3.243000e+00,1.600000e+02,,,,,,,,,,,,
J1828-0003,RRAT,,3.807116e+00,,,,,3.029234e+01,5.027088e+00,1.040900e+01,1.930000e+02,,,,,,,,,,,,
J1828-0038g,RRAT,,2.426000e+00,,,,,2.971634e+01,4.867197e+00,2.661000e+00,7.000000e+01,,,,,,,,,,,,
J1838+50,RRAT,,2.577223e+00,,,,,7.982313e+01,2.273943e+01,1.704000e+00,2.181000e+01,,,,,,,,,,,,
J1839-0141,RRAT,2.487668e+06,9.332656e-01,5.944000e-15,2.383373e+12,,,3.001387e+01,1.964804e+00,6.074000e+00,2.932000e+02,,,,,,,,,,,,
J1840-0245g,RRAT,,1.502000e+00,,,,,2.920661e+01,1.235744e+00,5.020000e+00,2.770000e+02,,,,,,,,,,,,
J1840-1419,RRAT,1.645201e+07,6.597563e+00,6.353758e-15,6.551746e+12,,,1.894450e+01,-4.118543e+00,7.210000e-01,1.940000e+01,,,,,,,,,,,,
J1841-04,RRAT,,,,,,,2.749041e+01,9.038119e-02,9.930000e-01,2.900000e+01,,,,,,,,,,,,
J1842+0114g,RRAT,,4.140000e+00,,,,,3.297888e+01,2.613914e+00,7.884000e+00,3.070000e+02,,,,,,,,,,,,
J1843-0051g,RRAT,,5.800000e-01,,,,,3.127395e+01,1.370762e+00,1.034800e+01,5.730000e+02,,,,,,,,,,,,
J1845+0326g,RRAT,,9.680000e-01,,,,,3.533652e+01,2.840014e+00,4.847000e+00,1.440000e+02,,,,,,,,,,,,
J1845+0417g,RRAT,,1.697000e+00,,,,,3.607791e+01,3.259309e+00,5.773000e+00,1.640000e+02,,,,,,,,,,,,
J1845-0008g,RRAT,,1.268000e+00,,,,,3.209440e+01,1.341894e+00,3.915000e+00,1.430000e+02,,,,,,,,,,,,
J1846-0257,RRAT,4.416882e+05,4.476723e+00,1.605870e-13,2.713222e+13,,,2.970738e+01,-1.982700e-01,4.003000e+00,2.370000e+02,,,,,,,,,,,,
J1847-0046g,RRAT,,,,,,,3.183297e+01,4.634534e-01,4.876000e+00,3.370000e+02,,,,,,,,,,,,
J1848-1243,RRAT,1.490467e+07,4.143834e-01,4.405000e-16,4.323387e+11,,,2.122384e+01,-5.080554e+00,3.149000e+00,9.196000e+01,,,,,,,,,,,,
J1849+0619g,RRAT,,2.011000e+00,,,,,3.834914e+01,3.286397e+00,4.479000e+00,1.100000e+02,,,,,,,,,,,,
J1850+15,RRAT,,1.383965e+00,,,,,4.668821e+01,7.292261e+00,1.110000e+00,2.110000e+01,,,,,,,,,,,,
J1850-0004g,RRAT,,,,,,,3.271817e+01,2.709898e-01,3.571000e+00,1.540000e+02,,,,,,,,,,,,
J1851+0051g,RRAT,,4.027000e+00,,,,,3.371450e+01,3.366822e-01,6.053000e+00,5.750000e+02,,,,,,,,,,,,
J1853+0209g,RRAT,,,,,,,3.503678e+01,6.068948e-01,5.528000e+00,3.500000e+02,,,,,,,,,,,,
J1853+0353g,RRAT,,,,,,,3.662155e+01,1.315448e+00,9.186000e+00,3.790000e+02,,,,,,,,,,,,
J1853-0130g,RRAT,,1.945000e+00,,,,,3.178813e+01,-1.057344e+00,5.576000e+00,3.440000e+02,,,,,,,,,,,,
J1854+0306,RRAT,4.976007e+05,4.557820e+00,1.451250e-13,2.602554e+13,,,3.599206e+01,8.344178e-01,4.499000e+00,1.924000e+02,,,,,,,,,,,,
J1854-1557,RRAT,1.210429e+07,3.453121e+00,4.520000e-15,3.997837e+12,,,1.901802e+01,-7.949721e+00,1.089500e+01,1.500000e+02,,,,,,,,,,,,
